timestamp,command,gesture,text,x,y,status,message,latency_ms
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.26,0.5,success,"Moved cursor smoothly to (533, 540)",51.81
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.30000000000000004,0.5,success,"Moved cursor smoothly to (548, 540)",50.67
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.33999999999999997,0.5,success,"Moved cursor smoothly to (584, 540)",52.94
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.38,0.5,success,"Moved cursor smoothly to (634, 540)",53.39
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.42000000000000004,0.5,success,"Moved cursor smoothly to (694, 540)",54.05
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.45999999999999996,0.5,success,"Moved cursor smoothly to (760, 540)",51.6
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.5,0.5,success,"Moved cursor smoothly to (830, 540)",53.26
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.54,0.5,success,"Moved cursor smoothly to (902, 540)",51.58
2026-05-16 14:40:42,CURSOR_MOVE,INDEX_FINGER,,0.58,0.5,success,"Moved cursor smoothly to (975, 540)",51.2
2026-05-16 14:40:43,CURSOR_MOVE,INDEX_FINGER,,0.62,0.5,success,"Moved cursor smoothly to (1050, 540)",51.01
2026-05-16 14:40:43,CURSOR_MOVE,INDEX_FINGER,,0.66,0.5,success,"Moved cursor smoothly to (1125, 540)",51.08
2026-05-16 14:40:43,CURSOR_MOVE,INDEX_FINGER,,0.7,0.5,success,"Moved cursor smoothly to (1201, 540)",50.91
2026-05-16 14:40:43,CURSOR_MOVE,INDEX_FINGER,,0.74,0.5,success,"Moved cursor smoothly to (1277, 540)",50.95
2026-05-16 14:40:43,CURSOR_MOVE,INDEX_FINGER,,0.78,0.5,success,"Moved cursor smoothly to (1354, 540)",51.49
2026-05-16 14:40:43,CURSOR_MOVE,INDEX_FINGER,,0.82,0.5,success,"Moved cursor smoothly to (1431, 540)",52.16
2026-05-16 14:40:43,CURSOR_MOVE,INDEX_FINGER,,0.86,0.5,success,"Moved cursor smoothly to (1508, 540)",52.66
2026-05-28 15:33:33,THAIJO_INPUT_SEARCH,PINCH_CONFIRM,,,,success,No keyword to search,6.88
2026-05-28 15:33:38,THAIJO_INPUT_SEARCH,PINCH_CONFIRM,,,,success,No keyword to search,2.24
2026-05-28 15:34:29,THAIJO_INPUT_SEARCH,PINCH_CONFIRM,,,,success,No keyword to search,2.68
